LAT,LON,Num
46.056425,-1.083614,1
46.056455,-1.083547,2
46.056377,-1.083457,3
46.056393,-1.083334,4
46.056356,-1.083223,5
46.056388,-1.083104,6
46.056414,-1.082966,7
46.056396,-1.082829,8
46.056431,-1.082707,9
46.056494,-1.082606,10
46.056553,-1.082525,11
46.05663,-1.082425,12
46.056698,-1.082347,13
46.05676,-1.082272,14
46.056823,-1.082196,15
46.056895,-1.082122,16
46.056964,-1.082043,17
46.057026,-1.081951,18
46.057099,-1.081868,19
46.057198,-1.08186,20
46.057294,-1.081877,21
46.057385,-1.081862,22
46.057465,-1.081821,23
46.057561,-1.081817,24
46.057658,-1.081794,25
46.057734,-1.081842,26
46.057754,-1.081975,27
46.057764,-1.0821,28
46.057774,-1.082244,29
46.057771,-1.08237,30
46.05779,-1.08249,31
46.0578,-1.082615,32
46.057836,-1.082746,33
46.057878,-1.082862,34
46.057882,-1.082986,35
46.057887,-1.083121,36
46.057915,-1.083245,37
46.057929,-1.083371,38
46.057947,-1.083499,39
46.057959,-1.083622,40
46.057959,-1.083764,41
46.05797,-1.083898,42
46.057953,-1.084018,43
46.057953,-1.084142,44
46.057957,-1.084271,45
46.05796,-1.084389,46
46.057995,-1.084526,47
46.058014,-1.08464,48
46.058028,-1.084761,49
46.058056,-1.084897,50
46.058082,-1.085024,51
46.058098,-1.08514,52
46.058106,-1.085293,53
46.058148,-1.085407,54
46.058215,-1.085483,55
46.058252,-1.085596,56
46.058276,-1.085721,57
46.058306,-1.085834,58
46.058318,-1.085953,59
46.05835,-1.086084,60
46.058414,-1.086175,61
46.058492,-1.086254,62
46.058541,-1.086356,63
46.058602,-1.086453,64
46.058687,-1.086496,65
46.058773,-1.08651,66
46.058869,-1.08648,67
46.058968,-1.086468,68
46.059066,-1.086458,69
46.05917,-1.086438,70
46.059253,-1.086425,71
46.059352,-1.086389,72
46.05944,-1.086383,73
46.059529,-1.086382,74
46.059624,-1.086308,75
46.05967,-1.086187,76
46.05965,-1.086058,77
46.059625,-1.085923,78
46.059609,-1.085777,79
46.059598,-1.085642,80
46.059597,-1.085509,81
46.059593,-1.085384,82
46.059597,-1.085255,83
46.059581,-1.085135,84
46.059555,-1.085013,85
46.059541,-1.084868,86
46.059533,-1.084738,87
46.05953,-1.084598,88
46.059551,-1.08447,89
46.059581,-1.084345,90
46.059578,-1.084202,91
46.05958,-1.084062,92
46.059565,-1.083937,93
46.059518,-1.083818,94
46.059473,-1.083698,95
46.05944,-1.083586,96
46.059415,-1.083453,97
46.059399,-1.083337,98
46.059388,-1.083211,99
46.059366,-1.08308,100
46.059413,-1.082965,101
46.059491,-1.082913,102
46.059579,-1.082886,103
46.059682,-1.082835,104
46.059718,-1.082715,105
46.059728,-1.082585,106
46.059737,-1.082443,107
46.059739,-1.08232,108
46.059756,-1.0822,109
46.059771,-1.082053,110
46.059773,-1.081918,111
46.059779,-1.081774,112
46.059791,-1.081643,113
46.059809,-1.081509,114
46.059835,-1.081376,115
46.05985,-1.081237,116
46.059877,-1.08112,117
46.059902,-1.080998,118
46.059912,-1.080857,119
46.059937,-1.080722,120
46.059961,-1.080598,121
46.059989,-1.080458,122
46.060012,-1.080332,123
46.060034,-1.080188,124
46.060042,-1.08007,125
46.060075,-1.079933,126
46.060099,-1.079811,127
46.060091,-1.079675,128
46.060104,-1.079531,129
46.060136,-1.079415,130
46.060161,-1.079285,131
46.06018,-1.079164,132
46.060211,-1.079033,133
46.060236,-1.078895,134
46.060249,-1.078767,135
46.060277,-1.078637,136
46.06029,-1.07851,137
46.060313,-1.078377,138
46.060331,-1.078253,139
46.060341,-1.078129,140
46.060365,-1.077995,141
46.060308,-1.077902,142
46.060219,-1.077851,143
46.060138,-1.077797,144
46.060058,-1.077719,145
46.059979,-1.077659,146
46.0599,-1.077618,147
46.059815,-1.077592,148
46.05974,-1.07753,149
46.059651,-1.077488,150
46.059612,-1.077366,151
46.059598,-1.07723,152
46.059526,-1.07713,153
46.059434,-1.077102,154
46.059347,-1.077065,155
46.059253,-1.077039,156
46.059163,-1.077022,157
46.059075,-1.076987,158
46.058987,-1.076931,159
46.058886,-1.076904,160
46.058801,-1.076931,161
46.058717,-1.076987,162
46.058649,-1.077083,163
46.05862,-1.077216,164
46.058585,-1.077355,165
46.058575,-1.077474,166
46.058546,-1.077593,167
46.058484,-1.077702,168
46.058442,-1.077823,169
46.058406,-1.07793,170
46.058358,-1.078031,171
46.05832,-1.078151,172
46.058299,-1.078273,173
46.058291,-1.078399,174
46.058273,-1.078531,175
46.058262,-1.078671,176
46.058256,-1.078818,177
46.058244,-1.078956,178
46.058231,-1.079094,179
46.058216,-1.079228,180
46.058207,-1.079345,181
46.058183,-1.079483,182
46.058142,-1.079623,183
46.058085,-1.079734,184
46.058035,-1.079854,185
46.057959,-1.079948,186
46.057902,-1.080063,187
46.057865,-1.08017,188
46.057843,-1.080283,189
46.05784,-1.080424,190
46.057861,-1.08054,191
46.057889,-1.080653,192
46.057893,-1.080771,193
46.0579,-1.08091,194
46.057901,-1.081039,195
46.057901,-1.081172,196
46.057899,-1.081301,197
46.057884,-1.081423,198
46.057872,-1.081539,199
46.057871,-1.081663,200
46.057883,-1.081786,201
46.057896,-1.081928,202
46.057905,-1.082057,203
46.057919,-1.082176,204
46.05793,-1.082325,205
46.057961,-1.082447,206
46.057987,-1.082571,207
46.058021,-1.082683,208
46.057968,-1.08279,209
46.057904,-1.082864,210
46.05782,-1.082915,211
46.057729,-1.082945,212
46.05764,-1.082919,213
46.057556,-1.082948,214
46.057476,-1.08298,215
46.057394,-1.083006,216
46.057297,-1.083012,217
46.057211,-1.083017,218
46.057127,-1.083017,219
46.057035,-1.083006,220
46.05694,-1.083008,221
46.056849,-1.083033,222
46.056769,-1.083062,223
46.056681,-1.08307,224
46.0566,-1.083102,225
46.056515,-1.083111,226
46.05642,-1.083114,227
46.056343,-1.08318,228
46.056241,-1.083206,229
46.056159,-1.083225,230
46.056068,-1.083247,231
46.055976,-1.083279,232
46.055888,-1.083341,233
46.055802,-1.083403,234
46.055718,-1.083473,235
46.05564,-1.083551,236
46.055555,-1.083611,237
46.055468,-1.083665,238
46.055388,-1.083708,239
46.055306,-1.083779,240
46.055229,-1.083848,241
46.055152,-1.083922,242
46.055077,-1.083977,243
46.055003,-1.084035,244
46.054923,-1.084098,245
46.054928,-1.08423,246
46.054931,-1.084348,247
46.054946,-1.084485,248
46.054964,-1.084612,249
46.054976,-1.084742,250
46.05504,-1.084862,251
46.05513,-1.084889,252
46.055219,-1.08489,253
46.05532,-1.084867,254
46.055427,-1.08483,255
46.055527,-1.084816,256
46.055615,-1.084808,257
46.055707,-1.08479,258
46.055795,-1.084775,259
46.055875,-1.084758,260
46.055962,-1.08475,261
46.056051,-1.084724,262
46.056132,-1.084698,263
46.056218,-1.08468,264
46.056308,-1.084664,265
46.056393,-1.084668,266
46.056492,-1.084643,267
46.056579,-1.084615,268
46.056664,-1.084599,269
46.05675,-1.084601,270
46.056841,-1.084607,271
46.056934,-1.084582,272
46.057018,-1.084553,273
46.057122,-1.084532,274
46.057214,-1.084535,275
46.057305,-1.084522,276
46.05739,-1.084512,277
46.057479,-1.084517,278
46.057558,-1.08449,279
46.057651,-1.084473,280
46.057743,-1.08445,281
46.057834,-1.084441,282
46.057933,-1.084422,283
46.058029,-1.084446,284
46.058111,-1.08444,285
46.058107,-1.084565,286
46.058111,-1.084693,287
46.058121,-1.084824,288
46.058137,-1.084955,289
46.058166,-1.085081,290
46.058188,-1.085219,291
46.058208,-1.085352,292
46.058228,-1.085495,293
46.058254,-1.085634,294
46.05827,-1.085756,295
46.058312,-1.085871,296
46.058336,-1.085983,297
46.058365,-1.086112,298
46.05843,-1.086189,299
46.05849,-1.086275,300
46.058541,-1.086377,301
46.058607,-1.086466,302
46.0587,-1.086508,303
46.058799,-1.086505,304
46.058897,-1.086497,305
46.058983,-1.086477,306
46.059076,-1.086452,307
46.059169,-1.086446,308
46.059255,-1.086429,309
46.059358,-1.086403,310
46.059453,-1.08639,311
46.059546,-1.086383,312
46.059627,-1.086342,313
46.059679,-1.086218,314
46.059663,-1.08609,315
46.059636,-1.085966,316
46.059603,-1.085835,317
46.059588,-1.08572,318
46.059578,-1.085573,319
46.059583,-1.085445,320
46.059574,-1.085306,321
46.059558,-1.085185,322
46.059557,-1.085049,323
46.059562,-1.084923,324
46.059569,-1.084787,325
46.05957,-1.084651,326
46.059549,-1.084528,327
46.059546,-1.084399,328
46.059545,-1.08428,329
46.059551,-1.084138,330
46.059542,-1.083994,331
46.059517,-1.083871,332
46.059496,-1.083737,333
46.059511,-1.083611,334
46.059533,-1.083487,335
46.059555,-1.083359,336
46.059575,-1.083232,337
46.059596,-1.083106,338
46.059632,-1.082985,339
46.059662,-1.082867,340
46.059704,-1.082744,341
46.059725,-1.082619,342
46.059747,-1.082487,343
46.059775,-1.082352,344
46.059814,-1.082236,345
46.059861,-1.082112,346
46.059906,-1.081996,347
46.059965,-1.081903,348
46.060024,-1.081805,349
46.060093,-1.081725,350
46.060169,-1.081665,351
46.060258,-1.081615,352
46.060284,-1.081585,353
46.060233,-1.081493,354
46.060233,-1.081493,355
46.060239,-1.081353,356
46.060233,-1.081229,357
46.060219,-1.081106,358
46.060232,-1.080981,359
46.060258,-1.080864,360
46.060282,-1.080749,361
46.060306,-1.08061,362
46.060314,-1.080486,363
46.060324,-1.080363,364
46.060347,-1.080244,365
46.060369,-1.080112,366
46.060364,-1.079968,367
46.060386,-1.079836,368
46.060415,-1.079727,369
46.060455,-1.079611,370
46.06049,-1.079494,371
46.06052,-1.079364,372
46.060537,-1.07922,373
46.060545,-1.079095,374
46.060565,-1.078968,375
46.060585,-1.078854,376
46.060611,-1.078717,377
46.060631,-1.078594,378
46.060649,-1.078457,379
46.06066,-1.078321,380
46.060653,-1.078202,381
46.06061,-1.07809,382
46.060551,-1.078006,383
46.060467,-1.077939,384
46.060374,-1.077922,385
46.060292,-1.07789,386
46.060207,-1.077836,387
46.060114,-1.077762,388
46.060038,-1.077676,389
46.059952,-1.07762,390
46.059871,-1.077579,391
46.059785,-1.077543,392
46.059708,-1.077484,393
46.059642,-1.077391,394
46.059626,-1.077273,395
46.059597,-1.077135,396
46.05952,-1.077085,397
46.05943,-1.077075,398
46.059347,-1.077079,399
46.059254,-1.077076,400
46.059172,-1.077048,401
46.05908,-1.076994,402
46.059004,-1.076941,403
46.058911,-1.076919,404
46.058829,-1.076927,405
46.058745,-1.076963,406
46.058684,-1.077044,407
46.058663,-1.077162,408
46.058649,-1.077301,409
46.058622,-1.077421,410
46.058587,-1.07753,411
46.058546,-1.077654,412
46.058506,-1.077762,413
46.058457,-1.077873,414
46.058415,-1.077983,415
46.058372,-1.078087,416
46.058319,-1.07822,417
46.058288,-1.078351,418
46.058289,-1.078491,419
46.058274,-1.078616,420
46.058267,-1.078749,421
46.058265,-1.078887,422
46.058248,-1.079011,423
46.058243,-1.079137,424
46.058224,-1.079281,425
46.058199,-1.079399,426
46.058163,-1.079511,427
46.05812,-1.079637,428
46.058072,-1.079731,429
46.058019,-1.079859,430
46.057961,-1.079978,431
46.057924,-1.080115,432
46.057887,-1.08022,433
46.057873,-1.080352,434
46.05787,-1.080477,435
46.057885,-1.080616,436
46.057902,-1.080733,437
46.057914,-1.080858,438
46.057914,-1.080992,439
46.057916,-1.081122,440
46.05791,-1.081244,441
46.057908,-1.081384,442
46.057917,-1.081516,443
46.057914,-1.081657,444
46.057915,-1.081785,445
46.057915,-1.081925,446
46.057924,-1.08206,447
46.05793,-1.082198,448
46.057942,-1.08234,449
46.057969,-1.082469,450
46.057989,-1.082585,451
46.057999,-1.082725,452
46.057925,-1.082806,453
46.057856,-1.08287,454
46.05777,-1.082939,455
46.057686,-1.082927,456
46.057593,-1.082914,457
46.057499,-1.082931,458
46.057408,-1.082966,459
46.057323,-1.082982,460
46.057227,-1.083004,461
46.057131,-1.083028,462
46.057032,-1.083052,463
46.056931,-1.083085,464
46.056844,-1.083104,465
46.056741,-1.083116,466
46.05664,-1.083101,467
46.056553,-1.083133,468
46.056457,-1.083157,469
46.056352,-1.083181,470
46.056258,-1.083197,471
46.056167,-1.083225,472
46.056079,-1.083261,473
46.055997,-1.083295,474
46.055916,-1.083352,475
46.055837,-1.0834,476
46.055757,-1.083479,477
46.055695,-1.083559,478
46.055609,-1.083624,479
46.055531,-1.083664,480
46.055444,-1.083703,481
46.055363,-1.083749,482
46.05528,-1.08379,483
46.055198,-1.083839,484
46.055123,-1.083902,485
46.055035,-1.083971,486
46.054956,-1.084045,487
46.054879,-1.084107,488
46.054798,-1.084189,489
46.054712,-1.084269,490
46.054629,-1.084324,491
46.054547,-1.08438,492
46.05446,-1.084436,493
46.054361,-1.084477,494
46.054284,-1.084516,495
46.05419,-1.084529,496
46.054098,-1.084483,497
46.054035,-1.08441,498
46.053973,-1.084333,499
46.0539,-1.084239,500
46.053808,-1.084306,501
46.053726,-1.08439,502
46.053649,-1.084469,503
46.053577,-1.084553,504
46.053506,-1.084653,505
46.05343,-1.08471,506
46.053338,-1.084731,507
46.053255,-1.084741,508
46.053166,-1.084746,509
46.05309,-1.084793,510
46.053059,-1.084911,511
46.053061,-1.085037,512
46.053065,-1.085158,513
46.053076,-1.08529,514
46.053082,-1.085413,515
46.05309,-1.085536,516
46.053101,-1.085668,517
46.053117,-1.08581,518
46.05315,-1.085938,519
46.053182,-1.08606,520
46.053223,-1.086186,521
46.053267,-1.086286,522
46.053309,-1.086412,523
46.053344,-1.086543,524
46.053389,-1.086653,525
46.053405,-1.086789,526
46.053414,-1.086924,527
46.053423,-1.087059,528
46.053432,-1.0872,529
46.053443,-1.087333,530
46.053454,-1.087458,531
46.053459,-1.08758,532
46.053454,-1.087714,533
46.053464,-1.087858,534
46.053477,-1.087998,535
46.053486,-1.088135,536
46.053539,-1.088231,537
46.053627,-1.088295,538
46.053681,-1.088385,539
46.053725,-1.088499,540
46.053781,-1.088587,541
46.053846,-1.088659,542
46.053914,-1.088734,543
